Student_ID,Course_ID,Engagement_Time_Minutes,Participation_Frequency,Activity_Type,Completion_Status,Last_Active_Date,Average_Score,Device_Used,Time_Spent_Per_Session_Minutes,Course_Completion_Percentage,Total_Quizzes_Attempted,Total_Forums_Posted,Preferred_Learning_Mode
1.23E+04,32cbd7,424,14,Video Lecture,Completed,2023-04-27T00:00:00.000000000,50,Desktop,118,61,17,13,Live Sessions
,3dd192,259,21,Assignment,In Progress,2022-05-26T00:00:00.000000000,85,Mobile,98,46,19,2,Self-Paced
947cce10,bd2be7,109,23,Video Lecture,Completed,2024-02-29T00:00:00.000000000,84,Desktop,96,21,5,43,Self-Paced
3ed67f4f,af94a1,309,21,Discussion Forum,In Progress,2022-03-31T00:00:00.000000000,54,Tablet,100,15,6,3,Self-Paced
bb19d749,64be4a,49,25,Assignment,Completed,2023-06-04T00:00:00.000000000,97,Tablet,90,23,18,31,Self-Paced
ff1d5d1e,f2572f,127,24,Assignment,Completed,2022-09-15T00:00:00.000000000,50,Mobile,93,21,2,36,Hybrid
f1c706ed,351006,510,19,Video Lecture,Dropped,2022-12-20T00:00:00.000000000,88,Mobile,60,43,3,8,Self-Paced
c76ff93b,2f87d6,428,16,Quiz,Dropped,2023-04-19T00:00:00.000000000,72,Desktop,119,18,0,30,Live Sessions
16955577,540697,467,22,Quiz,Completed,2023-07-25T00:00:00.000000000,78,Laptop,119,63,7,45,Self-Paced
9c8a9113,0894b7,412,7,Discussion Forum,In Progress,2022-12-17T00:00:00.000000000,62,Mobile,99,15,17,48,Self-Paced
e46df270,272672,67,12,Assignment,Completed,2022-04-09T00:00:00.000000000,71,Desktop,74,55,16,25,Self-Paced
5c84908e,2f28d3,130,19,Quiz,In Progress,2023-06-06T00:00:00.000000000,94,Tablet,117,70,11,25,Hybrid
eca7bde4,7dab83,221,11,Video Lecture,Completed,2022-08-22T00:00:00.000000000,64,Tablet,118,51,8,22,Self-Paced
a0eae041,d2f01f,568,24,Discussion Forum,In Progress,2024-01-15T00:00:00.000000000,93,Tablet,56,10,17,43,Live Sessions
da953c1d,9341bc,33,20,Discussion Forum,In Progress,2022-03-05T00:00:00.000000000,59,Desktop,53,38,17,8,Live Sessions
61e7b445,bccec7,203,18,Video Lecture,Dropped,2022-07-14T00:00:00.000000000,86,Mobile,29,95,5,7,Hybrid
9cedff88,ec42f8,320,19,Quiz,In Progress,2023-02-22T00:00:00.000000000,87,Laptop,35,7,17,15,Hybrid
a46d5570,9a09a2,151,9,Discussion Forum,Dropped,2022-07-18T00:00:00.000000000,73,Laptop,40,34,16,29,Live Sessions
e47644e8,de080a,431,7,Assignment,In Progress,2023-02-15T00:00:00.000000000,74,Desktop,90,41,10,11,Live Sessions
2536ed31,5967a7,344,26,Discussion Forum,In Progress,2022-04-14T00:00:00.000000000,94,Desktop,56,66,19,30,Self-Paced
67213724,a59c5b,279,24,Assignment,Dropped,2023-10-29T00:00:00.000000000,60,Mobile,16,39,8,39,Hybrid
2f52be28,c2e3c0,105,27,Quiz,In Progress,2023-02-12T00:00:00.000000000,77,Laptop,25,95,9,40,Live Sessions
fedc8d57,cb5eb2,271,20,Discussion Forum,Completed,2022-04-28T00:00:00.000000000,67,Laptop,68,89,5,38,Self-Paced
e428b5ab,d02068,467,13,Quiz,In Progress,2023-09-27T00:00:00.000000000,87,Desktop,14,45,0,42,Hybrid
7162c17a,cc6a7d,444,13,Discussion Forum,Completed,2024-01-10T00:00:00.000000000,51,Desktop,9,79,9,16,Hybrid
8d8b9f52,4de062,500,1,Discussion Forum,In Progress,2023-11-28T00:00:00.000000000,67,Tablet,114,66,0,12,Live Sessions
6ba1983a,9588ac,431,9,Video Lecture,In Progress,2023-11-26T00:00:00.000000000,55,Laptop,116,86,3,32,Hybrid
4b1c9594,63b503,535,2,Video Lecture,Completed,2022-01-18T00:00:00.000000000,90,Mobile,100,43,14,9,Hybrid
7678c05d,a8299c,394,10,Video Lecture,In Progress,2023-03-06T00:00:00.000000000,77,Tablet,29,93,10,29,Self-Paced
ffa2a2ac,5aad9a,306,29,Video Lecture,Completed,2023-02-17T00:00:00.000000000,92,Tablet,76,90,16,5,Self-Paced
0703aeac,52a5ab,137,20,Quiz,Completed,2023-05-16T00:00:00.000000000,61,Tablet,12,20,9,21,Hybrid
6ba38bac,2c6cb1,136,8,Discussion Forum,Dropped,2022-08-20T00:00:00.000000000,80,Tablet,39,65,0,20,Self-Paced
27627f59,1b79c9,79,22,Quiz,Completed,2022-12-13T00:00:00.000000000,69,Tablet,95,97,12,15,Self-Paced
8e5dffa0,a22ad7,481,26,Assignment,Completed,2023-10-07T00:00:00.000000000,61,Mobile,86,59,2,20,Hybrid
d134e410,5e6ce8,35,12,Quiz,In Progress,2023-01-09T00:00:00.000000000,70,Tablet,15,7,6,43,Hybrid
cf61f0f2,a48ecc,143,14,Quiz,In Progress,2022-07-31T00:00:00.000000000,62,Tablet,101,53,12,25,Self-Paced
92ee8427,708dac,75,6,Discussion Forum,Completed,2022-01-10T00:00:00.000000000,90,Mobile,86,70,3,3,Self-Paced
c5615415,5c9d15,358,25,Video Lecture,In Progress,2023-10-20T00:00:00.000000000,54,Tablet,72,74,0,36,Self-Paced
14598c64,5bf0c1,206,10,Quiz,In Progress,2023-07-21T00:00:00.000000000,62,Laptop,41,6,12,49,Hybrid
1845487f,4483ce,326,19,Assignment,Completed,2023-09-21T00:00:00.000000000,87,Mobile,53,9,19,11,Self-Paced
4.81E+11,390695,215,20,Video Lecture,Completed,2022-01-09T00:00:00.000000000,96,Tablet,90,43,16,25,Hybrid
cfadce46,29625,38,23,Video Lecture,Completed,2023-07-15T00:00:00.000000000,85,Desktop,94,2,1,38,Live Sessions
3cadf6eb,61796f,161,25,Discussion Forum,Completed,2023-03-03T00:00:00.000000000,52,Laptop,49,84,8,38,Hybrid
8411e471,0dacff,329,25,Discussion Forum,Completed,2022-03-27T00:00:00.000000000,68,Laptop,116,83,11,38,Self-Paced
72f199ea,1571f4,594,11,Discussion Forum,In Progress,2022-04-21T00:00:00.000000000,51,Mobile,9,43,10,39,Self-Paced
3758ee76,57718,168,12,Assignment,Completed,2022-01-25T00:00:00.000000000,89,Desktop,107,50,0,28,Hybrid
4ee777de,f62429,333,2,Discussion Forum,Completed,2022-02-25T00:00:00.000000000,88,Tablet,43,71,0,14,Self-Paced
5a1f295e,776a6a,422,21,Video Lecture,Completed,2023-04-21T00:00:00.000000000,69,Mobile,119,44,15,24,Live Sessions
ae19134a,1cdbda,593,2,Discussion Forum,Dropped,2022-03-22T00:00:00.000000000,96,Desktop,42,34,18,39,Hybrid
6428b51e,10ccb5,211,12,Assignment,Completed,2022-04-17T00:00:00.000000000,71,Tablet,69,2,4,12,Live Sessions
0ffc3bc3,9ae053,476,1,Quiz,In Progress,2022-05-06T00:00:00.000000000,82,Mobile,37,37,0,48,Self-Paced
c4160898,a4fabe,57,2,Video Lecture,Completed,2023-01-30T00:00:00.000000000,68,Mobile,50,0,16,46,Self-Paced
482d0cc3,71420a,119,26,Quiz,In Progress,2023-05-28T00:00:00.000000000,56,Laptop,57,94,9,23,Self-Paced
c5794882,bc8a14,563,8,Assignment,Completed,2022-09-23T00:00:00.000000000,50,Desktop,86,61,7,25,Self-Paced
478aa9ae,dda3c5,174,24,Discussion Forum,In Progress,2022-06-12T00:00:00.000000000,88,Tablet,89,17,14,9,Self-Paced
313fa166,5a6a7a,215,25,Video Lecture,Completed,2023-01-07T00:00:00.000000000,99,Mobile,6,61,17,46,Self-Paced
0b5d73e3,fdf305,299,5,Video Lecture,Completed,2022-11-17T00:00:00.000000000,73,Mobile,30,75,7,2,Live Sessions
3073629c,e29338,464,29,Quiz,Completed,2022-05-22T00:00:00.000000000,92,Mobile,108,72,19,0,Live Sessions
1322195,a146b0,344,8,Assignment,In Progress,2023-05-01T00:00:00.000000000,90,Laptop,69,90,12,48,Self-Paced
72649712,1.12E+12,471,16,Video Lecture,Completed,2023-10-22T00:00:00.000000000,88,Laptop,56,96,10,6,Live Sessions
3b13b53f,12f55d,432,29,Quiz,Completed,2022-11-06T00:00:00.000000000,70,Laptop,30,71,19,20,Live Sessions
eb1bee9f,93421b,112,29,Assignment,Dropped,2022-12-11T00:00:00.000000000,78,Desktop,43,88,18,14,Live Sessions
7f9f6e1c,203661,268,4,Assignment,In Progress,2022-09-11T00:00:00.000000000,83,Tablet,62,98,2,33,Hybrid
0761321a,6a4d6b,458,5,Video Lecture,Dropped,2023-01-24T00:00:00.000000000,74,Mobile,34,48,17,7,Self-Paced
2ee46f82,f6a023,272,28,Assignment,Dropped,2022-09-18T00:00:00.000000000,54,Desktop,109,89,14,28,Live Sessions
0e004693,fa726e,234,27,Assignment,Completed,2022-04-26T00:00:00.000000000,53,Tablet,70,8,9,36,Live Sessions
7e30f4b8,457224,81,21,Discussion Forum,In Progress,2023-08-31T00:00:00.000000000,79,Mobile,62,75,17,29,Live Sessions
d6c88650,6f7615,565,3,Discussion Forum,In Progress,2022-01-21T00:00:00.000000000,87,Desktop,72,19,1,6,Hybrid
710c4e39,804d56,58,24,Quiz,Completed,2023-07-27T00:00:00.000000000,89,Laptop,76,67,11,11,Self-Paced
657a9792,05ca5e,290,15,Quiz,In Progress,2022-06-09T00:00:00.000000000,91,Tablet,51,66,9,26,Self-Paced
38faae8a,eea08c,10,22,Video Lecture,Completed,2022-10-30T00:00:00.000000000,52,Laptop,79,52,6,13,Hybrid
a8a3b326,100dfd,407,6,Video Lecture,In Progress,2022-10-12T00:00:00.000000000,86,Laptop,38,13,17,45,Hybrid
fb8b4e98,d1dbd6,278,7,Discussion Forum,In Progress,2022-05-27T00:00:00.000000000,76,Tablet,9,86,0,49,Live Sessions
61fac5d3,0184ab,128,13,Video Lecture,Completed,2022-10-21T00:00:00.000000000,63,Mobile,34,24,16,23,Hybrid
0ab91154,f0a0bf,486,6,Assignment,In Progress,2022-01-01T00:00:00.000000000,88,Tablet,65,84,2,12,Self-Paced
c1d9845e,66c4d9,150,7,Discussion Forum,In Progress,2022-10-16T00:00:00.000000000,64,Laptop,109,45,7,5,Self-Paced
e47dca41,c80490,456,15,Discussion Forum,Completed,2022-06-22T00:00:00.000000000,88,Mobile,53,99,11,26,Hybrid
5b0d1dda,2b2c17,249,12,Assignment,Completed,2023-04-03T00:00:00.000000000,65,Desktop,109,41,9,48,Self-Paced
fb4472ae,f2fac7,512,25,Quiz,Completed,2023-12-11T00:00:00.000000000,87,Mobile,106,25,11,14,Self-Paced
8ba1a72c,7b0fc4,26,21,Quiz,In Progress,2023-10-18T00:00:00.000000000,83,Mobile,53,3,7,1,Live Sessions
bed9bb21,5324dc,233,6,Assignment,Dropped,2024-02-04T00:00:00.000000000,91,Desktop,95,47,8,31,Self-Paced
2fb48470,a1614c,194,13,Discussion Forum,In Progress,2023-06-07T00:00:00.000000000,94,Laptop,108,3,2,6,Self-Paced
1a8114f2,b77f86,262,26,Assignment,In Progress,2023-08-08T00:00:00.000000000,64,Desktop,8,82,11,21,Live Sessions
491db9bd,f40985,236,1,Video Lecture,Dropped,2022-03-03T00:00:00.000000000,95,Tablet,14,23,10,1,Hybrid
4d717320,e9d5a4,278,15,Assignment,Completed,2023-09-11T00:00:00.000000000,63,Desktop,111,15,1,39,Hybrid
163ce8cd,ca211c,182,16,Quiz,Completed,2024-02-19T00:00:00.000000000,87,Tablet,50,0,17,28,Live Sessions
